barrer_big.1.1, placeholder.big_barrier.2
barrier.1.1, placeholder.barrier.3
barrier.1.2, placeholder.barrier.2
barrier.1.border, placeholder.barrier.1
barrier.2.1, placeholder.barrier.3
barrier.2.2, placeholder.barrier.2
barrier.2.border, placeholder.barrier.1
barrier.3.1, placeholder.barrier.3
barrier.3.2, placeholder.barrier.2
barrier.3.border, placeholder.barrier.1
barrier_big.1.2, placeholder.big_barrier.4
barrier_big.1.border.1,	placeholder.big_barrier.1
barrier_big.1.border.2,	placeholder.big_barrier.3
barrier_big.2.1, placeholder.big_barrier.2
barrier_big.2.2, placeholder.big_barrier.4
barrier_big.2.border.1,	placeholder.big_barrier.1
barrier_big.2.border.2,	palceholder.big_barrier.3
barrier_big.3.1, placeholder.big_barrier.2
barrier_big.3.2, placeholder.big_barrier.4
barrier_big.3.border.1,	placeholder.big_barrier.1
barrier_big.3.border.2,	placeholder.big_barrier.3
crack_east, cracked_wall.e
crack_mor_south_left, cracked_wall.s.l
crack_more_east_left, cracked_wall.e.l
crack_more_east_right, cracked_wall.e.r
crack_more_north_left, cracked_wall.n.l
crack_more_north_right,	cracked_wall.n.r
crack_more_south_right,	cracked_wall.s.r
crack_more_west_left, cracked_wall.w.l
crack_more_west_right, cracked_wall.w.r
crack_north, cracked_wall.n
crack_south, cracked_wall.s
crack_west, cracked_wall.w
door.1, door_floor.n
door.1.support.1, door_support.l.n
door.1.support.2, door_support.r.n
door.2, door_floor.s
door.2.support.1, door_support.r.s
door.2.support.2, door_support.l.s
door.3, door_floor.w
door.3.support.1, door_support.r.w
door.3.support.2, door_support.l.w
door.4, door_floor.e
door.4.support.1, door_support.l.e
door.4.support.2, door_support.r.e
door_blast.1, blown_door_floor.n
door_blast.1.support.1, blown_door_support.l.n
door_blast.1.support.2, blown_door_support.r.n
door_blast.2, blown_door_floor.s
door_blast.2.support.1, blown_door_support.r.s
door_blast.2.support.2, blown_door_support.l.s
door_blast.3, blown_door_floor.w
door_blast.3.support.1, blown_door_support.r.w
door_blast.3.support.2, blown_door_support.l.w
door_blast.4, blown_door_floor.e
door_blast.4.support.1, blown_door_support.l.e
door_blast.4.support.2, blown_door_support.r.e
door_boss.1.pillar.1, boss_entrance_pillar.l.bottom
door_boss.1.pillar.1.top, boss_entrance_pillar.l.top
door_boss.1.pillar.2, boss_entrance_pillar.r.bottom
door_boss.1.pillar.2.top, boss_entrance_pillar.r.top
door_cache.1, high_wall_top.n
door_cache.2, high_wall_top.s
door_cache.3, high_wall_top.w
door_cache.4, high_wall_top.e
door_cache_low.1, low_wall_top.n
door_cache_low.2, low_wall_top.s
door_cache_low.3, low_wall_top.w
door_cache_low.4, low_wall_top.e
door_stairs.spiral_down.1, wall_stairs_curved.down.n
door_stairs.spiral_down.2, wall_stairs_curved.down.s
door_stairs.spiral_up.1, wall_stairs_curved.up.n
door_stairs.spiral_up.2, wall_stairs_curved.up.s
door_stairs.straight_down.1, wall_stairs_straight.down.n
door_stairs.straight_down.2, wall_stairs_straight.down.s
door_stairs.straight_up.1, wall_stairs_straight.up.n
door_stairs.straight_up.2, wall_stairs_straight.up.s
door_top.1, open_door_top.high.n
door_top.2, open_door_top.high.s
door_top.3, open_door_top.high.w
door_top.4, open_door_top.high.e
door_top.blast.1, blown_door_top.n
door_top.blast.2, blown_door_top.s
door_top.blast.3, blown_door_top.w
door_top.blast.4, blown_door_top.e
door_top.closed.1, closed_door_top.n
door_top.closed.2, closed_door_top.s
door_top.closed.3, closed_door_top.w
door_top.closed.4, closed_door_top.e
door_top.low.1, open_door_top.low.n
door_top.low.2, open_door_top.low.s
door_top.low.3, open_door_top.low.w
door_top.low.4, open_door_top.low.e
door_top.stairs.1, stairs_door_top.n
door_top.stairs.2, stairs_door_top.s
door_top.stairs.3, stairs_door_top.w
door_top.stairs.4, stairs_door_top.e
door_top.stairs_down.1, door_arrow.down.n
door_top.stairs_down.2, door_arrow.down.s
door_top.stairs_up.1, door_arrow.up.n
door_top.stairs_up.2, door_arrow.up.s
drapes.1.1, placeholder.drapes.n
drapes.1.2, placeholder.drapes.s
drapes.1.3, placeholder.drapes.w
drapes.1.4, placeholder.drapes.e
drapes.2.1, placeholder.drapes.n
drapes.2.2, placeholder.drapes.s
drapes.2.3, placeholder.drapes.w
drapes.2.4, placeholder.drapes.e
drapes.3.1, placeholder.drapes.n
drapes.3.2, placeholder.drapes.s
